H_um,p_inlet_Pa,Nx,Ny,dt,n_passos,nm_membrana,np_rede,w_centro_max_m,w_centro_final_m,w_max_m,p_outlet_max_Pa,p_outlet_final_Pa,q_outlet_max_abs_m3s,q_outlet_final_m3s,volume_final_m3,potencia_max_abs_W,potencia_final_W,tempo_execucao_s
1500,5000.0,101,101,0.00625,1921,10201,224,7.786419472889436e-05,4.3808460320587865e-05,7.786419472889436e-05,5357.771524871702,5017.556582179294,1.4642916344505071e-05,-6.494659763324711e-07,4.3735918956300357e-10,0.07321458172252536,-0.0032473298816623557,101.04083233600068
1500,5000.0,101,101,0.0125,961,10201,224,7.666678421274189e-05,4.3342045859662414e-05,7.666678421274189e-05,5339.004650210939,5013.54350179394,1.4517765292898666e-05,-5.010111606813168e-07,4.279446758971147e-10,0.07258882646449333,-0.002505055803406584,51.75082518700037
1500,5000.0,101,101,0.025,481,10201,224,7.447573112711041e-05,4.2189337977215996e-05,7.447573112711041e-05,5308.4300222996835,5007.52062331736,1.4270273073194464e-05,-2.782084186557336e-07,4.155692813854611e-10,0.07135136536597232,-0.001391042093278668,26.924888384999576
1500,5000.0,101,101,0.05,241,10201,224,7.078868602687986e-05,4.071194331709175e-05,7.078868602687986e-05,5261.734915536686,5001.420129280069,1.379199890863122e-05,-5.253446484806076e-08,4.0255378232755044e-10,0.0689599945431561,-0.0002626723242403038,14.698147551000147
1500,10000.0,51,51,0.00625,1921,2601,224,0.00015700537679672755,8.853966903166483e-05,0.00015700537679672755,10720.792158667151,10019.962889690007,2.9578711641062783e-05,-7.38481870227788e-07,8.886135524521324e-10,0.2957871164106278,-0.00738481870227788,18.650685135999083
1500,10000.0,51,51,0.0125,961,2601,224,0.0001545193590043903,8.752238846773889e-05,0.0001545193590043903,10683.463547569942,10016.602007108002,2.9325828356841495e-05,-6.141536345501615e-07,8.694016918813851e-10,0.29325828356841493,-0.006141536345501615,9.575937952000459
1500,10000.0,51,51,0.025,481,2601,224,0.00015002514804461043,8.509849456181807e-05,0.00015002514804461043,10622.33490496044,10008.706372637751,2.8831126851379545e-05,-3.22072528015357e-07,8.438418354244188e-10,0.28831126851379546,-0.0032207252801535703,5.069481596001424
1500,10000.0,51,51,0.05,241,2601,224,0.00014257944714668775,8.203937051460042e-05,0.00014257944714668775,10527.890472373467,10000.055391907328,2.7862560598539133e-05,-2.0490981246304696e-09,8.168599592797228e-10,0.2786256059853913,-2.0490981246304695e-05,2.8449868820007396
1500,10000.0,101,101,0.00625,1921,10201,224,0.00015572838945778872,8.761692064117573e-05,0.00015572838945778872,10715.543049743404,10035.113164358589,2.9285832689010143e-05,-1.2989319526649423e-06,8.747183791260071e-10,0.29285832689010144,-0.012989319526649423,101.16812271799972
1500,10000.0,101,101,0.0125,961,10201,224,0.00015333356842548378,8.668409171932483e-05,0.00015333356842548378,10678.009300421878,10027.08700358788,2.9035530585797333e-05,-1.0020223213626335e-06,8.558893517942294e-10,0.2903553058579733,-0.010020223213626335,51.6857716780014
1500,10000.0,101,101,0.025,481,10201,224,0.00014895146225422083,8.437867595443199e-05,0.00014895146225422083,10616.860044599367,10015.04124663472,2.8540546146388928e-05,-5.564168373114672e-07,8.311385627709222e-10,0.2854054614638893,-0.005564168373114672,26.81063971599906
1500,10000.0,101,101,0.05,241,10201,224,0.00014157737205375973,8.14238866341835e-05,0.00014157737205375973,10523.469831073371,10002.840258560138,2.758399781726244e-05,-1.0506892969612151e-07,8.051075646551009e-10,0.2758399781726244,-0.0010506892969612152,14.457930497999769
